#,references,amount,manufacturer,partNumber
1,ANT1,1,TE Connectivity Linx,ANT-868-CHP-T
2,BH1,1,KeyStone,108
3,C1 C2 C3 C5,4,TDK,CGA3E2X7R1E104K080AA
4,C10 C11,2,Samsung,CL21B475KPFNFNE
5,CONN2,1,NA,NA
6,Q1,1,Vishay Siliconix,SI2367DS-T1-GE3
7,R1 R2 R3,3,YAGEO,CR0603-FX-4701ELF
8,R4,1,YAGEO,AC0603JR-07330KL
9,SW1,1,Wurth Electronics,434331045822
10,SW2,1,Wurth Elektronik,434133025816
11,U2,1,ROHM,BR24G1MFVT-5AE2
12,U3,1,Sensirion,SHT40-BD1B-R2
13,U1,1,Seeed Technology,114993121
14,U4,1,ams Osram,TSL25911FN
